Nro Transacciï¿½n;Fecha;Nro comprobante;Aux;Referencia;Glosa;Monto debe ;Monto haber;Saldo;Fecha del asiento contable
357811;04/03/2021;390032;1;;;0.00;;0.00;04/03/2021
357992;05/03/2021;390213;1;;;50.00;;37,158.51;05/03/2021
358691;07/03/2021;390912;2;;;;104.00;37,262.51;07/03/2021
358699;09/03/2021;390920;2;;;;104.00;36,586.81;09/03/2021
358701;10/03/2021;390922;1;;;500.00;;36,086.81;10/03/2021
358712;11/03/2021;390933;1;;;500.00;;36,186.81;11/03/2021
358716;11/03/2021;390937;2;;;;500.00;36,686.81;11/03/2021
358718;11/03/2021;390939;2;;;;100.00;36,186.81;11/03/2021
358720;12/03/2021;390941;1;;;900.00;;37,262.51;12/03/2021
358724;12/03/2021;390945;1;;;100.00;;38,162.51;12/03/2021
358729;12/03/2021;390950;2;;;;1000.00;38,262.51;12/03/2021
358734;15/03/2021;390955;2;;;;310.00;37,262.51;15/03/2021
358738;15/03/2021;390959;1;;;310.00;;36,952.51;15/03/2021
